Português,Inglês
Você não deveria estar aqui.,You shouldn't be here.
Eu te mato!,I kill you!
Homer!,Homer!
Salve!,Save!
Spock.,Spock.
Perdedor!,Loser!
Como estás?,Such as?
Está quebrado.,Is broken.
Fica quieto.,Stay quiet.
Te odeio!,I hate you!
O que fazer?,What to do?
Eu ouvi isso.,I heard this.
"Muito bem, vamos.","Very well, let's go."
Não assim.,Not like that.
Posso te perguntar uma coisa?,Can I ask you something?
"Agora, não.",Not now.
Equipe CreepySubs,Creepysubs Team
Não estou ouvindo.,I'm not listening.
Saia agora!,Get out now!
Não pode ser verdade.,It cannot be true.
Senhoritas.,Ladies.
Soltem-no.,Release it.
Todos estão bem?,Everyone is well?
É bom vê-lo.,It's good to see him.
Sou um idiota.,I'm an idiot.
Não irei.,I will not go.
Preciso falar com ele.,I need to talk to him.
No banheiro.,In the bathroom.
"Ei, rapazes.","Hey, boys."
Eu te avisei.,I warned you.
Parou.,Stopped.
Estou exausta.,I am exhausted.
Carla.,Carla.
Deixe disso.,Leave it.
Isso é errado.,This is wrong.
Vire à direita.,Turn right.
Detenham-no!,Det it!
Te ligo depois.,I'll call you later.
Onde ela está agora?,Where is she now?
Passe.,Pass.
Isso também.,This too.
Me dê um minuto.,Give me a minute.
É um prazer conhecê-la.,Nice to meet you.
e...,It is...
É adorável.,It is adorable.
Boa jogada.,Nice play.
Fique longe dele.,Stay away from him.
Que noite!,What night!
Duas horas.,Two hours.
Não sei nada sobre isso.,I don't know anything about it.
Quer beber alguma coisa?,Want to drink something?
"Por aqui, senhor.","Here, sir."
Sinto muitíssimo.,I feel so much.
Sonny.,Sonny.
Ela não está.,She is not here.
Deixe-me falar com ele.,Let me talk to him.
É sempre assim.,It's always like that.
Que diabos está fazendo aqui?,What the hell are you doing here?
Willie!,Willie!
Vou fazer isso.,I will do this.
"Certo, certo, certo.","Okay, right, right."
então...,then...
Chaves.,Keys.
Meu Deus do céu!,Oh my God!
"Pai, por favor.","Father, please."
Ainda não sabemos.,We don `t know yet.
Alguém está vindo.,Someone is coming.
Tenho uma ideia melhor.,I have a better idea.
Carmen!,Carmen!
"Não, você não entende.","No, you don't understand."
Tem um cigarro?,Do you have a cigarette?
Eu amo vocês.,I love you.
Onde conseguiu?,Where did you get it?
Denise.,Denise.
Eu não tenho certeza.,I'm not sure.
Agora chega.,Now enough.
Apenas faça.,Just do it.
Seu marido?,Your husband?
Se afaste.,Go away.
Neil!,Neil!
Ele não está morto.,He is not dead.
Está se sentindo melhor?,Are you feeling better?
Eu não diria isso.,I wouldn't say that.
Scully.,Scully.
Não posso falar agora.,I can not talk now.
Longa história.,Long story.
Você tem um minuto?,Do you have a minute?
Retirada!,Withdrawal!
Isso não é...,That is not...
Não se movam!,Don't move!
Como pode ser?,How can be?
Aonde pensa que vai?,Where do you think you are going?
Relatório.,Report.
Forte.,Strong.
Eu o perdi.,I lost him.
"Infelizmente, não.",Unfortunately not.
Esse é o espírito.,That's the spirit.
Tolo!,Fool!
Eu não tenho nada.,I have nothing.
Eu tenho uma idéia.,I have an idea.
Escondam-se!,Hide!
Cuidem-se.,Take care.
Vida.,Life.
Não quero fazer isso.,I don't want to do that.
Problema resolvido.,Problem solved.
Yes!,Yes!
"Certo, rapazes.","Okay, boys."
tudo bem.,all good.
"Ei, mãe.",Hey Mom.
Diz.,It says.
Voltem aqui!,Come back here!
Vamos pra casa.,Let's go home.
"Hey, hey.","HEY, Hey."
É interessante.,It's interesting.
"Sim, agora.",Yes now.
Gay.,Gay.
Nikki.,Nikki.
Entrei.,I entered.
Vai ver.,Will see.
Pare de chorar.,Stop crying.
Você está sangrando.,You're bleeding.
"Bem, é...",Well and...
Avante!,Forward!
Junior!,Junior!
"Ei, pare!","Hey, stop!"
Para lá.,For there.
Vou dormir.,I am going to sleep.
Continue falando.,Keep talking.
Imagina.,You're welcome.
"Bem, vamos.","Well, let's go."
Está acordado?,Are you awake?
"Olá, papai.",Hello Daddy.
Não funciona assim.,It doesn't work like that.
Melhor não.,Best not.
Fique longe dela.,Stay away from it.
Samuel!,Samuel!
Entende o que quero dizer?,Do you understand what I mean?
Fefavrin,FEFAVRIN
Ganhamos!,We won!
"Eu, também.",Me too.
Fala inglês?,Speak English?
Pega leve.,Take it easy.
Chega disso.,Enough of that.
Típico.,Typical.
Buddy!,Buddy!
Está sozinha?,This alone?
Como sabe meu nome?,How do you know my name?
Leon!,Leon!
Rico!,Rich!
Não vão.,Do not go.
Davis.,Davis.
Prometa-me.,Promise me.
Rudy!,Rudy!
Booth.,Booth.
O que disseram?,What they said?
Não é nada pessoal.,It's nothing personal.
Ralph!,Ralph!
De tudo.,Of everything.
Talvez mais.,Maybe more.
Foi rápido.,Was fast.
Contato.,Contact.
Que horas?,What time?
Aceita?,Accepted?
Sua vadia!,Your bitch!
Isso é muito ruim.,This is very bad.
Quer parar?,Want to stop?
Sorte sua.,Lucky you.
"Não, não acho.","No, I don't think."
Todos juntos.,All together.
Não dessa vez.,Not this time.
O que mudou?,What has changed?
Ela é ótima.,She is great.
Já pensou nisso?,Have you ever thought about it?
Sem ofensas.,No offense.
Valerie.,Valerie.
Para nós.,For us.
Neal.,Neal.
Você sabe como é.,You know how it is.
Foi o que eu pensei.,That's what I thought.
Está feliz agora?,Are you happy now?
Ele é ótimo.,He is great.
Filha da puta!,Daughter of the bitch!
Já te disse.,I told you.
Stuart.,Stuart.
Nós ganhamos.,We won.
Separem-se!,Separate!
Não sei o que quer dizer.,I don't know what you mean.
Você fica.,You stay.
Olhe só para você.,Look at you.
Parada!,Stop!
E tem mais.,And there is more.
Sai de cima de mim!,Get out of me!
Para a esquerda.,To the left.
Conhece ele?,Do you know him?
Assine.,Sign it.
Odeio você.,I hate you.
Faça como quiser.,Do as you wish.
Alerta vermelho.,Red alert.
Não se meta.,Do not move.
Vagabunda!,Tramp!
América.,America.
O que há de errado comigo?,What is wrong with me?
Você é inacreditável.,You are unbelievable.
Melanie.,Melanie.
"Com licença, senhora.",Excuse me lady.
Eu vou ficar.,I will stay.
Para mim também.,For me too.
Até a próxima.,To the next.
Não posso esperar.,I can not wait.
Ann.,Ann.
"E aí, pessoal?",Hey guys?
Nos vemos depois.,See you later.
"Por favor, continue.",Please continue.
Eu não estava.,I was not.
Hans!,Hans!
Eu sou Groot.,I am groot.
Tentei.,I tried.
Não tenho nada a dizer.,I have nothing to say.
Não foi ele.,It was not him.
Tenho boas notícias.,I have good news.
"Ei, chefe.","Hey, boss."
Seria bom.,It would be good.
Me diga você.,Tell me you.
Está chegando.,Is coming.
"Sim, eu me lembro.",Yes I recall.
Si.,SI.
Sherlock!,Sherlock!
"É, talvez.","Yeah, maybe."
Bosta!,Shit!
Uma arma?,A weapon?
Não concorda?,Does not agree?
Uhm...,Uhm ...
Mate-os!,Kill them!
Eu espero que sim.,I hope so.
Come on!,Come on!
Você salvou minha vida.,You saved my life.
Fiona!,Fiona!
Não me entenda mal.,Do not misunderstand me.
Está com frio?,Are you cold?
Artie!,Artie!
É uma ótima ideia.,It's a great idea.
Aproximem-se.,Approach.
Eu estava certo.,I was right.
Sente-se bem?,Feel good?
Vamos descer.,Let's go down.
Eu fico.,I stay.
Boa noite a todos.,Good evening everyone.
Marshall.,Marshall.
Confere.,Check it out.
Merci.,Merci.
Onde vocês estão?,Where are you?
Evelyn.,Evelyn.
Só você e eu.,Just you and me.
Vou ficar aqui.,I will stay here.
Oops.,Oops.
É muito gentil.,It's very kind.
Atira!,Shoot!
L.O.T.S @lotsubs,L.o.t.s @lotsubs
Não tem ninguém.,There is no one.
Te vejo lá.,I'll see you there.
Com.,With.
Peixe.,Fish.
"Certo, chefe.","Right, boss."
Não é ruim.,It is not bad.
Irei.,I will go.
Chamem uma ambulância!,Call an ambulance!
Belo trabalho.,Beautiful work.
House.,"Casa, Lar."
É a minha vez.,It's my turn.
Que garota?,What girl?
Nós estamos.,We are.
Tranque a porta.,Lock the door.
Po!,Dust!
Estou preocupada.,I am worried.
Bebe.,Baby.
Quer beber algo?,Want to drink something?
"Muito bem, pessoal.","Very well, guys."
Duncan.,Duncan.
O que disse a ele?,What did you say to him?
Segurem-no!,Hold it!
Não posso evitar.,I cannot avoid.
Paula?,Paula?
Consegue?,It achieves?
"Certo, cara.","Right, man."
Eu quero ir.,I wanna go.
A guerra acabou.,The war is over.
Ele virá.,He will come.
Scarlett!,Scarlett!
Um de cada vez.,One at a time.
Que divertido.,What fun.
Está seguro.,It's safe.
Bom homem.,Good man.
É ruim.,Is bad.
Ele é um bom homem.,He is a good man.
Lá vou eu.,Here I go.
Eu a amava.,I loved her.
Te vejo em breve.,See you soon.
Para onde foi?,Where did it go?
O prazer é todo meu.,The pleasure is all mine.
Vamos encontrá-lo.,Let's find it.
Alec?,Alec?
Ahhh!,Ahhh!
Tenho que voltar.,I have to go back.
Obrigada por tudo.,Thank you for everything.
No quê?,In what?
O que está rolando?,What are you up to?
Eu mesmo.,Myself.
Vire à esquerda.,Turn left.
Holmes!,Holmes!
"Oh, graças a Deus.","Oh, thank God."
L,L
Já é tarde.,It's late.
Vai passar.,Will pass.
Quer casar comigo?,Will you marry me?
É grande.,It's big.
Eu passo.,I pass.
"Oh, sério?",Oh really?
Estou perdido.,I'm lost.
Sobre isso...,About this...
Câncer.,Cancer.
Isso é seu?,This is yours?
Ele não disse.,He did not say.
Ela não.,She does not.
Moleza.,Crazy.
E é isso.,And that's it.
O que fará?,What will you do?
Em que sentido?,In what sense?
Um menino.,A boy.
Esta manhã.,This morning.
Monstro!,Monster!
"O que está fazendo, cara?","What are you doing, man?"
Estou certa?,Am I right?
Aguardem.,Wait.
Eu não o matei.,I didn't kill him.
Deixe-me ver se entendi.,Let me see if I understand.
Mas isso...,But that...
Você mesmo disse.,You said yourself.
Chegou cedo.,Arrived early.
"Pai, não!","Father, no!"
Eba!,EBA!
Não acabou.,It's not over.
Aguenta aí.,Hold on.
Bart!,Bart!
Ele mesmo.,Himself.
Tire a roupa.,Take off your clothes.
Bruno!,Bruno!
Esse é o meu garoto.,That's my Boy.
Esquece isso.,Forget it.
Seja paciente.,Be patient.
"Oi, amigo.",Hey friend.
Meu nome é...,My name is...
Desligo.,I turn off.
Estou indo para casa.,I am going home.
"Olá, amigo.",Hello friend.
Você está maluco?,You are crazy?
Achou?,He thought?
"Muito obrigado, senhor.","Thank you very much, sir."
Dispensado.,Dispensed.
Doente?,Sick?
"Certo, querida.","Right, honey."
Touché.,Touché.
Houve um acidente.,There has been an accident.
E como foi?,And how it was?
"Vamos, filho.","Come on, son."
Elaine.,Elaine.
O que aconteceu lá?,What happened there?
Eu volto logo.,I'll be right back.
Aqui estou eu.,Here I am.
Eu não quero isso.,I do not want it.
Mick!,Mick!
Sinta-se em casa.,Make yourself at home.
Vá à merda!,Go to shit!
Ash!,Ash!
Obrigado por perguntar.,Thanks for asking.
Deseje-me sorte.,Wish me luck.
Quantas vezes?,How many times?
Me deixe ir!,Let me go!
No que estava pensando?,What were you thinking about?
Jon.,Jon.
Posso te fazer uma pergunta?,Can I ask you a question?
O senhor está bem?,Are you okay?
Voilà.,Voilà.
"Com licença, por favor.",Excuse me please.
Equipe inSanos,Insane team
Não sou idiota.,I'm not idiot.
Está me gozando?,Are you enjoying me?
Desculpas aceitas.,Accepted apologies.
Uma bebida?,A drink?
Remem!,Remember!
Obrigado por terem vindo.,Thank you for coming.
Hora de dormir.,Time to sleep.
Qual é seu problema?,What is your problem?
Eles estão mortos.,They are dead.
Deixe-nos.,Leave us.
Jonas.,Jonas.
Não vai dar.,It won't give.
Preciso atender.,I need to answer.
Capitã.,Captain.
Esqueçam.,Forget.
"Está bem, obrigado.","Okay, thanks."
De onde veio?,Where did you come from?
Acho que vou vomitar.,I think I'll vomit.
Sem ressentimentos.,No hard feelings.
É meu trabalho.,It's my job.
Pra você.,For you.
Não vi nada.,I did not see anything.
Isto mesmo.,That's right.
Ele é todo seu.,He's all yours.
Bata!,Beat!
"Bom trabalho, pessoal.",Good job guys.
Marido?,Husband?
Chegou.,It arrived.
Quer saber de uma coisa?,Want to know something?
Gene.,Gene.
Uma o quê?,One what?
Eu a matei.,I killed her.
Veja só isso.,See that.
A menos que...,Unless...
É o papai.,It's Dad.
Você promete?,You promise?
Não está bem.,Its not good.
Bastardos!,Bastards!
O que está lendo?,What are you reading?
Amanhã de manhã.,Tomorrow morning.
legal.,Cool.
Fui atingido!,I was hit!
Acelere!,Accelerate!
Bate aqui.,Hit here.
Ele é bonito.,He is handsome.
Pense sobre isso.,Think about it.
Voltou.,It returned.
"Ah, isso.","Ah, that."
Isso é absurdo.,This is absurd.
Sábado.,Saturday.
Becca.,Becca.
Não brinque.,Do not play.
"Venha, sente-se.","Come, feel."
Não temos nada.,We have nothing.
Cansei.,I got tired.
Talvez seja.,May be.
Fiquem à vontade.,Feel free.
Coitadinha.,Poor.
Desculpe pelo atraso.,Sorry for being late.
De onde tirou isso?,Where did you get it from?
Onde está sua mãe?,Where is your mom?
O que esta acontecendo?,What is happening?
Nos vemos amanhã.,See you tomorrow.
Pra que?,For what?
Vou voltar.,I will come back.
Isso não vai funcionar.,It will not work.
Empurrem!,Push!
"Bem, você sabe.","Well, you know."
Ele não é.,He is not.
"Muito bem, obrigado.","Very well, thank you."
"Ok, tchau.",OK Bye.
Banheiro.,Bathroom.
Eu odeio isso.,I hate that.
Posso vê-la?,Can I see her?
Seu imbecil!,Your asshole!
É muito difícil.,Is very difficult.
Eu gosto dela.,I like her.
Saiam todos!,Get out all!
Vamos acabar logo com isso.,Let's end this soon.
Sabemos.,We know.
Lentamente.,Slowly.
Lori.,Lori.
Algum dia.,Someday.
Sem perguntas.,No questions.
Não tenha pressa.,Take your time.
Controle.,Control.
Que surpresa agradável.,What a pleasant surprise.
Já faz um tempo.,It's been a while.
Não posso aceitar.,I can not accept.
Aonde quer chegar?,Where do you want to go?
Nós estamos bem.,We are well.
Vossa Alteza.,Your Highness.
"Olá, pai.","Hello, dad."
Não o suficiente.,Not enough.
Do que?,Than?
Vale a pena.,It is worth it.
Foco.,Focus.
Aperte.,Press.
Algo não está certo.,Something is not right.
Está ferida?,Are you injured?
A quem?,To whom?
Posso ir com você?,I can go with you?
Que disse?,That said?
Você não faz ideia.,You have no idea.
Sinto muito pela sua perda.,I'm sorry for your loss.
É bom estar de volta.,It's good to be back.
Eu tenho certeza.,I'm sure.
É muito cedo.,It's too early.
Atire em mim.,Shoot me.
Está atrasada.,It's late.
"Bom dia, pessoal.",Good morning guys.
"Sabe disso, não é?","You know that, isn't it?"
Não consigo entender.,I can not understand.
Red.,Red.
Alfred.,Alfred.
Que romântico.,How romantic.
Mãos pra cima!,Hands up!
Acabou-se.,It is over.
Nunca ouvi falar dele.,I never heard of him.
Absurdo.,Absurd.
né?,huh?
Entra aí.,Come in.
Eu disse que não.,I said no.
Posso dar uma olhada?,May I take a look at it?
Eu tento.,I try.
Miller.,Miller.
"Oh, oi.",Oh hi.
Lincoln.,Lincoln.
Definitivamente não.,Definitely not.
Tem um segundo?,Do you have a second?
Volta aqui!,Come back here!
De maneira nenhuma.,In no way.
Onde você foi?,Where did you go?
Estou escutando.,I'm listening.
Dê-me a arma.,Give me the gun.
"Anda, vamos.","Come on, let's go."
Lenny!,Lenny!
Não me parece.,It doesn't seem to me.
Olhe nos meus olhos.,Look into my eyes.
Isabelle.,Isabelle.
Como ele morreu?,How did he die?
Tive uma idéia.,I have an idea.
Vamos nos separar.,Let's separate.
Está me ameaçando?,Are you threatening me?
Você está fora.,You're out.
Você deveria.,You should.
Respondam.,Answer.
Não saia daí.,Don't leave.
Ali está ela.,There she is.
Kathy?,Kathy?
Erica.,Erica.
Entende isso?,Understand it?
Não posso acreditar nisso.,I can't believe it.
Discurso!,Speech!
Cadela!,Bitch!
Sabe que horas são?,Do you know what time it is?
Isso não existe.,That does not exist.
Pare aqui.,Stop here.
Preciso sair daqui.,I need to get out of here.
De vez em quando.,Sometimes.
Concordo plenamente.,I fully agree.
Tenho que atender.,I have to answer.
O que vocês estão fazendo aqui?,What are you doing here?
"Nada, senhor.","Nothing, sir."
Ele estava...,He was...
Vira!,Will come!
E as crianças?,And the kids?
"Desculpe, o quê?",Sorry what?
Isso é divertido.,This is funny.
Faz.,He does.
Qual é a pressa?,What is the hurry?
Você se machucou?,Did you get hurt?
Somos uma família.,We are a family.
Pegamos ele.,We took him.
Esta é a minha casa.,This is my house.
Tudo bem então.,All is well then.
Philip.,Philip.
"É, cara.",Yeah man.
Estou confusa.,I'm confused.
É a vida.,Is life.
Eu tenho uma ideia.,I have an idea.
Nós entendemos.,We understand.
LikaPoetisa,Likapoetisa
Los Angeles.,Los Angeles.
Que acha?,What do you think?
Claro que vou.,Of course I go.
Difícil dizer.,Hard to say.
Onde é isso?,Where is it?
Acho que tem razão.,I think you're right.
Eu não penso assim.,I do not think like that.
"Não, é que...","No, it's ..."
Diga-me uma coisa.,Tell me something.
Isso é o suficiente.,This is enough.
Você é surdo?,You are deaf?
Você tá bem?,Are you okay?
Traga-o aqui.,Bring it here.
Dentro.,Inside.
DSergio |,DSERGIO |
Venha por aqui.,Come this way.
Eu a vi.,I saw her.
Você ainda está aqui.,Are you still here.
Errou.,Wrong.
"Não, não podemos.","No, we can not."
Bons tempos.,Good times.
Você é tão linda.,You are so Beautiful.
Merry!,Merry!
Eles são...,They are...
Precisamos da sua ajuda.,We need your help.
Esquisito.,Weird.
Morrer?,To die?
Posso dizer uma coisa?,Can I say one thing?
"Vai, vai, vai, vai!",Go Go go go!
Abortar!,Abort!
Cruzes!,Crosses!
"Toc, toc.","TOC, OCD."
Que tipo de coisas?,What kind of things?
Irene!,Irene!
Chegando!,Arriving!
Não sei o que é.,I do not know what is.
É tudo culpa sua.,It's all your fault.
Você confia em mim?,Do you trust me?
Não faça isto.,Do not do this.
Burro!,Dumb!
Estou errado?,I am wrong?
Está despedido.,It's fired.
Eu não vi nada.,I did not see anything.
Eu realmente sinto muito.,I'm really sorry.
Roma.,Pomegranate.
Isso foi bom.,That was good.
Isso foi há muito tempo.,That was a long time ago.
É triste.,It's sad.
Haley!,Haley!
Era ele.,It was him.
Teresa.,Teresa.
Não tenho muito tempo.,I do not have much time.
"Ei, sou eu.",Hey it's me.
E o que mais?,And what else?
Você é gay?,You are gay?
Foi sem querer.,It was an accident.
Conte comigo.,Count on me.
Eu preciso saber.,I need to know.
Estamos salvos!,We are saved!
Que triste.,That sad.
agora.,now.
Não se esqueça disso.,Do not forget that.
Alguma coisa errada?,Something wrong?
Ele vai me matar.,He will kill me.
Não posso ficar aqui.,I can not stay here.
Você é doente.,You are sick.
Não me machuque.,Dont hurt me.
É grave?,It is severe?
O que sugere?,What do you suggest?
"Ótimo, obrigado.",Great thank you.
Não sinto nada.,I do not feel anything.
Aqui estão eles.,Here they are.
Pode pegar.,You can take it.
Eu levo.,I carry.
Essa é minha garota.,That's my girl.
Joel?,Joel?
Pablo!,Pablo!
"Uh, sim.","Uh, yes."
Cel.,Cel.
Merlin!,Merlin!
Ela era...,She was...
Fique atrás de mim.,Stay behind me.
Sim Senhor.,Yes sir.
Pode passar.,You can pass.
Você pode me ajudar?,Can you help me?
Três meses.,Three months.
Ciao.,Ciao.
Eddy,Eddy
Entendem?,Do you understand?
Isso é bobagem.,This is silly.
Todo mundo sabe.,Everyone knows.
Que homem?,What man?
O que você acha disso?,What do you think?
Estamos trabalhando nisso.,We are working on it.
Olhe ao seu redor.,Look around you.
Como você se chama?,What's your name?
"Por favor, não me mate.",Please do not kill me.
Eu sabia disso.,I knew that.
Só estou brincando.,I am just kidding.
Dói muito.,Really hurts.
É o único jeito.,It's the only way.
Filha.,Daughter.
Pegue ele!,Catch him!
Não gosta?,Do not like?
Que besteira.,Bullshit.
É o melhor.,It's the best.
Entende o que estou dizendo?,Do you understand what I'm saying?
May.,May.
Vai se fuder!,It will fuck yourself!
Traga-o.,Bring him.
Perfeita.,Perfect.
Não parem!,Do not stop!
Fique de olho nele.,Keep an eye on him.
"Sim, ela é.",Yes she is.
Velho.,Old.
Entendemos.,We understand.
Podemos começar?,We can start?
Luz.,Light.
Eu confiei em você.,I trusted you.
Consigo.,With you.
C,W
Não precisamos.,We do not need.
Sou policial.,I'm a cop.
Vá para lá.,Go there.
Posso ver isso.,I can see that.
Estamos juntos.,We are together.
Posso imaginar.,Can imagine.
"Obrigada, pai.",Thanks Dad.
Por sua causa.,For your cause.
Não vamos conseguir.,We will not make it.
Não é só isso.,Not only that.
Chicago.,Chicago.
Está grávida?,Is pregnant?
Vamos de novo.,Let's go again.
"Vamos, rapaz.","Come on, boy."
"Sim, mestre.",Yes Master.
Não esqueça.,Do not forget.
Um instante.,A moment.
Já passei por isso.,I've been through this.
Vamos dormir.,Let's go to sleep.
Não realmente.,Not really.
Uhum.,Uhum.
Vamos comemorar.,Let's celebrate.
"É, isso mesmo.",That's right.
Ele não vai.,He will not go.
Deixem-me em paz!,Leave me alone!
"Agora, vá.",Now go.
Tomara.,He had taken.
Por que está rindo?,Why are you laughing?
Não temos certeza.,We are not sure.
Vamos pegá-los.,Let's take them.
Sem pressão.,No pressure.
Veja você mesmo.,Be yourself.
Por que você está fazendo isso?,Why are you doing this?
Vá devagar.,Go slow.
"Não, você não é.","No, you are not."
"Sim, senhorita.",Yes ma'am.
Cambio.,Exchange.
É ali.,It's there.
Na cozinha.,In the kitchen.
Que mulher?,What woman?
Pegue-os!,Pick them up!
Isso é uma loucura.,This is crazy.
Tá falando sério?,Are you serious?
Eu te peguei.,I got you.
Já começou.,Has begun.
Estão chegando.,Are coming.
É oficial.,It's official.
Archer.,Archer.
Entramos.,We entered.
Bela.,Lovely.
Aaah!,AAAH!
"Então, o que é?",So what is it?
Estou dizendo a verdade.,I'm telling the truth.
Foi fácil.,It was easy.
De certa forma.,Somehow.
"Adeus, querida.",Goodbye dear.
Foi terrível.,It was terrible.
Sem dúvidas.,No doubt.
Eu cometi um erro.,I made a mistake.
Estão me ouvindo?,Are you listening to me?
Obrigado pela carona.,Thanks for the ride.
Vão se foder!,They will fuck!
Não é nada de mais.,It's nothing much.
Lizzie.,Lizzie.
O que era aquilo?,What was that?
Qualquer lugar.,Anywhere.
"Olá, mamãe.",Hello mom.
Não estou nem aí.,I do not care.
Está delicioso.,It's delicious.
Sydney.,Sydney.
Você dirige.,You drive.
Comissário.,Commissioner.
É Natal.,It's Christmas.
Dez anos.,Ten years.
Você está ferido?,You are hurt?
Você lembra?,Do you remember?
Não agüento mais.,I can not take it anymore.
"Aqui está, senhor.",Here it is Sir.
Não seja tímido.,Do not be shy.
Qual o problema com você?,What's the problem with you?
Eu falo.,I speak.
Boo!,Boo!
Pode ter certeza.,You can be sure.
É confidencial.,It's confidential.
Vamos ao trabalho.,Let's go to work.
Pat!,Pat!
Isso não tem graça.,That's not funny.
"Senhor, por favor.","Lord, please."
É o que fazemos.,That's what we do.
Aonde você foi?,Where did you go?
Eu entendo isso.,I get it.
Você está com fome?,You are hungry?
Jovem.,Young.
Várias vezes.,Several times.
Esposa?,Wife?
O que aconteceu depois?,What happened next?
Brooke.,Brooke.
O que você está procurando?,What are you looking for?
Entra no carro.,Get in the car.
Você é médico?,Are you a doctor?
Tens razão.,You're right.
Devemos?,We must?
Harper.,Harper.
Contra a parede.,Against the wall.
Super.,Super.
Como está você?,How are you?
Gollum.,Gollum.
"Não, não estava.","No, I was not."
Perdi.,I lost.
"Boa noite, mãe.",Good night mom.
Não faz diferença.,It makes no difference.
Qual é o seu?,What is your?
Ainda não terminei.,I'm not finished yet.
Você o pegou?,Did you get it?
Vale a pena tentar.,Worth trying.
Sidney!,Sidney!
Freddy!,Freddy!
Você tem certeza disso?,Are you sure about that?
"Ah, ótimo.","Ah, great."
Quem fez isso com você?,Who did this to you?
Americano.,American.
Como você faz isso?,How you do it?
É a lei.,It's the law.
Nenhum dos dois.,Neither.
Para que isso?,What for this?
"Ei, vamos.","Hey, let's go."
Sexy.,Sexy.
É com você.,And with you.
Ele estava lá.,He was there.
Acelera!,Speeds up!
Mas por que?,But why?
Aquele cara?,That guy?
Sentimos muito.,We feel a lot.
Policiais.,Cops.
Elsa.,Elsa.
É pegar ou largar.,It is catching or dropping.
"Oh, ok.",Oh ok.
Veneno.,Poison.
Estava aqui.,Was here.
Quem pensa que é?,Who thinks it is?
Que piada.,What a joke.
Eu farei isso.,I will do this.
O que viu?,What did you see?
Não ouviu?,Didn't you hear?
Como isso funciona?,How does it work?
Amelia.,Amelia.
Estou assustada.,I'm scared.
A noite toda.,All night.
Não deveria estar aqui.,It shouldn't be here.
É melhor você ir.,You better go.
Extra!,Extra!
Também não.,Neither.
Tem alguma coisa errada.,There's something wrong.
Um bebê?,A baby?
Bem-vinda de volta.,Welcome back.
"Por favor, espere.",Please wait.
Você é idiota?,You are an idiot?
Vera.,Will see.
Me dê um segundo.,Give me a sec.
"Oh, tudo bem.",Oh okay.
Abram o portão!,Open the gate!
É você mesmo?,Is it yourself?
Você não se lembra?,Don't you remember?
Olha só você.,Look at you.
"Oi, Sam.","Hi, Sam."
Eu encontrei.,I found.
Coincidência?,Coincidence?
Boas.,Good.
Fique a vontade.,Feel free.
Esperando.,Waiting.
Não me diga o que fazer.,Do not tell me what to do.
Em particular.,In particular.
Por que ela faria isso?,Why would she do that?
Percebe?,Realize?
Ele estava aqui.,He was here.
E sabe por quê?,And you know why?
Ao contrário.,On the contrary.
Perdeu.,It lost.
Mina!,Mine!
A nós.,Years.
Cuidado com isso.,Watch out for that.
Você tem que me ajudar.,You have to help me.
Sua puta!,Your bitch!
"Tudo bem, senhor.",Allright Sir.
Olha lá.,Look there.
Encontrou algo?,Did you find something?
Nervoso?,Nervous?
Bernie.,Bernie.
"Boa noite, pessoal.",Good night people.
"Estou, sim.",I am yes.
Isso depende.,That depends.
Você é policial?,You are cop?
Pena.,Pity.
Parceiro.,Partner.
Não sabe disso.,You don't know that.
Thor!,Thor!
Eles estão chegando.,They're coming.
O que houve aqui?,What happened here?
"Depressa, depressa!","Quickly, quickly!"
The Tuunz :.,The Tunz :.
Iris.,Iris.
Isso é estúpido.,This is stupid.
Olhe para nós.,Look at us.
O que eu quero?,What I want?
Não foi o que eu quis dizer.,That's not what I meant.
Era eu.,It was me.
Foi culpa minha.,It was my fault.
Vou sim.,I am going yes.
Escreva.,Write.
Sr. Frodo?,Mr. Frodo?
hein?,huh?
Respira.,Breathe.
Mais um pouco.,A little more.
"Sim, eu vi.","Yes, I saw."
Deixe-me terminar.,Let me finish.
Não sei não.,I do not know.
Calados!,Silent!
Vamos ouvir.,Let's listen.
5 minutos.,5 minutes.
Tem minha palavra.,It has my word.
Na escuta?,In listening?
Sabemos disso.,We know that.
Cristina.,Cristina.
Milo!,Milo!
Regina.,Regina.
Duvido muito.,I doubt a lot.
Diretor.,Director.
Estou quase lá.,I'm almost there.
"Pare, pare, pare.","Stop, stop, stop."
Bruxa!,Witch!
É tudo minha culpa.,It's all my fault.
"Espere, não.","Wait, no."
Quem é aquela?,Who's that?
Gato!,Cat!
Caiam fora!,Fall out!
Telefonista.,Operator.
O que você quer dizer com isso?,What do you mean by that?
De volta ao trabalho.,Back to work.
"Você está bem, querida?","Are you OK, darling?"
Está viva.,It's alive.
"Desculpe, amigo.","Sorry, friend."
"Bom dia, Srta.","Good morning, Miss."
Ela é incrível.,She is amazing.
"Sim, tem razão.","Yes, you're right."
Fique parada.,Stand.
E foi.,And it was.
Temos de sair daqui.,We have to get out of here.
Cuide dela.,Take care of her.
"Uh, não.","Uh, no."
Peggy.,Peggy.
"Não, papai.","No, daddy."
"Vamos, pai.",Let's go Dad.
Ele fez isso.,He did that.
Estou mesmo.,I really am.
Você quer ir?,You want to go?
Eu te falei.,I told you.
Mitchell.,Mitchell.
